"";"subj.id";"age_s_c";"gender";"educ_s_c";"prior.climate.pos";"prior.climate.cert";"prior.climate.imp";"prior.climate.diff";"prior.climate.act_1";"prior.gmo.pos";"prior.gmo.cert";"prior.gmo.imp";"prior.gmo.diff";"prior.hom.pos";"prior.hom.cert";"prior.hom.imp";"prior.hom.diff";"condition";"topic";"version";"diff";"eff";"frustr";"order";"percc";"resp";"rt";"ideology";"num_c";"prior.conc";"ideology.conc";"condition.binary"
"433";268;-0,266957307254232;1;0,374887082204156;50;27;50;-10;50;50;32;28;42;-50;50;26;16;"easy";"clim";"ns";50;50;50;2;1;0;315,601;1,33333333333333;0,15236374585968;"neutr";"disc";"0"
"434";268;-0,266957307254232;1;0,374887082204156;50;27;50;-10;50;50;32;28;42;-50;50;26;16;"easy";"gmo";"s";50;50;50;3;1;1;291,774;1,33333333333333;0,15236374585968;"neutr";"conc";"0"
"435";268;-0,266957307254232;1;0,374887082204156;50;27;50;-10;50;50;32;28;42;-50;50;26;16;"easy";"hom";"ns";32;22;12;1;43;0;121,303;1,33333333333333;0,15236374585968;"neutr";"neutr";"0"
"436";269;0,225796315934174;0;0,0415537488708225;32;31;38;11;41;-11;30;28;11;22;29;21;11;"easy";"clim";"s";-20;-10;-31;2;32;1;68,346;6,33333333333333;-0,292080698584764;"disc";"disc";"0"
"437";269;0,225796315934174;0;0,0415537488708225;32;31;38;11;41;-11;30;28;11;22;29;21;11;"easy";"gmo";"s";-24;-23;-36;3;33;1;61,472;6,33333333333333;-0,292080698584764;"disc";"disc";"0"
"438";269;0,225796315934174;0;0,0415537488708225;32;31;38;11;41;-11;30;28;11;22;29;21;11;"easy";"hom";"ns";-10;11;-9;1;22;1;92,186;6,33333333333333;-0,292080698584764;"conc";"neutr";"0"
"439";272;0,254781823180551;0;0,0415537488708225;50;50;50;-50;50;-50;50;50;-50;-30;50;50;-50;"hard";"clim";"s";-50;-50;-50;1;50;1;82,025;2;-0,180969587473653;"neutr";"conc";"1"
"440";272;0,254781823180551;0;0,0415537488708225;50;50;50;-50;50;-50;50;50;-50;-30;50;50;-50;"hard";"gmo";"s";-49;-50;-50;3;50;1;113,836;2;-0,180969587473653;"neutr";"conc";"1"
"441";272;0,254781823180551;0;0,0415537488708225;50;50;50;-50;50;-50;50;50;-50;-30;50;50;-50;"hard";"hom";"ns";-50;-50;-50;2;49;0;42,071;2;-0,180969587473653;"neutr";"neutr";"1"
"442";274;0,341738344919681;0;0,0415537488708225;40;41;42;32;45;-31;31;32;33;31;21;11;10;"easy";"clim";"ns";15;18;-21;2;50;0;490,036;2,66666666666667;-0,0698584763625419;"conc";"disc";"0"
"443";274;0,341738344919681;0;0,0415537488708225;40;41;42;32;45;-31;31;32;33;31;21;11;10;"easy";"gmo";"ns";10;15;-10;1;42;1;194,436;2,66666666666667;-0,0698584763625419;"conc";"disc";"0"
"444";274;0,341738344919681;0;0,0415537488708225;40;41;42;32;45;-31;31;32;33;31;21;11;10;"easy";"hom";"s";18;29;17;3;42;0;264,024;2,66666666666667;-0,0698584763625419;"disc";"neutr";"0"
"445";275;-0,426377597109304;1;-0,625112917795844;10;33;30;-25;26;30;38;-25;-32;0;50;-49;32;"hard";"clim";"ns";-19;27;-19;3;34;0;28,902;4,33333333333333;0,374585968081903;"conc";"conc";"1"
"446";275;-0,426377597109304;1;-0,625112917795844;10;33;30;-25;26;30;38;-25;-32;0;50;-49;32;"hard";"gmo";"s";23;20;20;2;26;1;34,001;4,33333333333333;0,374585968081903;"disc";"disc";"1"
"447";275;-0,426377597109304;1;-0,625112917795844;10;33;30;-25;26;30;38;-25;-32;0;50;-49;32;"hard";"hom";"ns";-20;26;-24;1;37;0;71,881;4,33333333333333;0,374585968081903;"conc";"neutr";"1"
"448";277;-0,252464553631043;1;-0,625112917795844;-50;50;-50;-50;-50;-50;50;20;-50;-50;10;-35;50;"easy";"clim";"ns";-37;-18;50;2;34;0;120,791;6,33333333333333;0,0412526347485692;"conc";"conc";"0"
"449";277;-0,252464553631043;1;-0,625112917795844;-50;50;-50;-50;-50;-50;50;20;-50;-50;10;-35;50;"easy";"gmo";"ns";17;21;25;3;-32;1;90,541;6,33333333333333;0,0412526347485692;"conc";"conc";"0"
"450";277;-0,252464553631043;1;-0,625112917795844;-50;50;-50;-50;-50;-50;50;20;-50;-50;10;-35;50;"easy";"hom";"s";18;50;-13;1;-20;1;151,5;6,33333333333333;0,0412526347485692;"disc";"neutr";"0"
"451";278;0,182318055064609;1;-0,291779584462511;30;37;43;41;40;14;14;26;2;6;2;2;2;"hard";"clim";"s";9;9;10;1;42;1;54,581;4;-0,180969587473653;"disc";"neutr";"1"
"452";278;0,182318055064609;1;-0,291779584462511;30;37;43;41;40;14;14;26;2;6;2;2;2;"hard";"gmo";"s";10;12;9;3;35;0;32,284;4;-0,180969587473653;"disc";"neutr";"1"
"453";278;0,182318055064609;1;-0,291779584462511;30;37;43;41;40;14;14;26;2;6;2;2;2;"hard";"hom";"ns";8;12;32;2;34;0;47,647;4;-0,180969587473653;"conc";"neutr";"1"
"454";279;0,0663760260791015;1;-0,625112917795844;-30;50;1;-50;-30;-50;50;-50;-50;-49;50;-50;-50;"easy";"clim";"ns";-50;-50;-50;1;50;0;47,769;3;-0,292080698584764;"conc";"disc";"0"
"455";279;0,0663760260791015;1;-0,625112917795844;-30;50;1;-50;-30;-50;50;-50;-50;-49;50;-50;-50;"easy";"gmo";"ns";-50;-50;-50;3;50;0;133,406;3;-0,292080698584764;"conc";"disc";"0"
"456";279;0,0663760260791015;1;-0,625112917795844;-30;50;1;-50;-30;-50;50;-50;-50;-49;50;-50;-50;"easy";"hom";"s";-50;-50;-50;2;50;0;234,239;3;-0,292080698584764;"disc";"neutr";"0"
"457";280;0,196810808687797;1;-0,291779584462511;11;42;1;1;10;50;50;1;0;-50;50;-50;-50;"hard";"clim";"ns";0;-50;-50;1;-31;0;138,761;3,66666666666667;0,374585968081903;"conc";"disc";"1"
"458";280;0,196810808687797;1;-0,291779584462511;11;42;1;1;10;50;50;1;0;-50;50;-50;-50;"hard";"gmo";"ns";-50;-50;-50;3;50;0;49,168;3,66666666666667;0,374585968081903;"conc";"disc";"1"
"459";280;0,196810808687797;1;-0,291779584462511;11;42;1;1;10;50;50;1;0;-50;50;-50;-50;"hard";"hom";"s";-50;-50;-50;2;50;1;27,336;3,66666666666667;0,374585968081903;"disc";"neutr";"1"
